Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2009-03-09,14.624,15.223,14.552,14.244,22719000,13.660975,MA,0.09,0.06
2009-03-10,15.025,15.54,14.963,14.848,39087000,14.240253,MA,0.09,0.06
2009-03-11,15.664,15.664,14.892,14.784,24505000,14.178876,MA,0.09,0.06
2009-03-12,15.422,16.47,15.164,15.707,33673000,15.064095,MA,0.09,0.06
2009-03-13,16.474,16.707,16.109,15.831,29335000,15.183017,MA,0.09,0.06
2009-03-16,16.683,16.873,15.986,15.369,22055000,14.739934,MA,0.09,0.06
2009-03-17,15.994,16.94,15.902,16.238001,29737000,15.57336,MA,0.09,0.06
2009-03-18,16.681,16.805,16.432,15.975,28081000,15.321128,MA,0.09,0.06
2009-03-19,17.045,17.233,15.983,15.41,33658000,14.779251,MA,0.09,0.06
2009-03-20,16.194,16.369,15.936,15.553,24708000,14.916397,MA,0.09,0.06
2009-03-23,16.526,16.989,16.236,16.289,23535000,15.622276,MA,0.09,0.06
2009-03-24,16.697,17.474,16.59,16.288,31564000,15.62131,MA,0.09,0.06
2009-03-25,16.874,17.204,16.663,16.452999,31788000,15.779558,MA,0.09,0.06
2009-03-26,17.408,17.873,17.197,16.988001,36507000,16.292665,MA,0.09,0.06
2009-03-27,17.245,17.713,17.159,16.747,18360000,16.061518,MA,0.09,0.06
2009-03-30,17.135,17.433,16.899,16.305,22330000,15.637622,MA,0.09,0.06
2009-03-31,17.1,17.555,17.001,16.747999,31897000,16.062485,MA,0.09,0.06
2009-04-01,17.036,17.074,16.386,16.007999,50889000,15.352773,MA,0.09,0.06
2009-04-02,16.996,17.471,16.903,16.566,39610000,15.887937,MA,0.09,0.06
2009-04-03,17.204,18.148,17.1,17.405001,36303000,16.6926,MA,0.09,0.06
2009-04-06,17.892,18.502,17.545,17.153,43605000,16.450903,MA,0.09,0.06
2009-04-07,17.682,17.828,17.283,16.576,26152000,15.897529,MA,0.09,0.06
2009-04-08,17.496,17.496,17.064,16.733,17512000,16.062634,MA,0.09,0.06
2009-04-09,17.801,17.981,17.479,17.246,27688000,16.555086,MA,0.09,0.06
2009-04-13,17.72,18.399,17.601,17.606001,26997000,16.90066,MA,0.09,0.06
2009-04-14,18.23,18.23,17.293,16.610001,33818000,15.944563,MA,0.09,0.06
2009-04-15,17.417,17.418,16.77,16.546,34967000,15.883127,MA,0.09,0.06
2009-04-16,16.772,17.019,16.449,16.17,39334000,15.522187,MA,0.09,0.06
2009-04-17,16.897,17.187,16.424,16.306,40526000,15.652739,MA,0.09,0.06
2009-04-20,16.643,16.842,15.819,15.185,36136000,14.576653,MA,0.09,0.06
2009-04-21,15.676,17.123,15.557,16.437,45720000,15.778492,MA,0.09,0.06
2009-04-22,16.785,17.189,16.622,16.077,31615000,15.432916,MA,0.09,0.06
2009-04-23,16.897,17.227,16.543,16.525,32295000,15.862973,MA,0.09,0.06
2009-04-24,17.552,18.032,17.149,17.309,39012000,16.615562,MA,0.09,0.06
2009-04-27,17.518,17.918,17.226,16.555,32183000,15.891766,MA,0.09,0.06
2009-04-28,17.123,17.789,16.949,16.754,25515000,16.082794,MA,0.09,0.06
2009-04-29,17.749,18.565,17.519,17.820999,45922000,17.107048,MA,0.09,0.06
2009-04-30,18.844,19.665,18.788,18.344999,69872000,17.610054,MA,0.52,0.06
2009-05-01,18.283,18.335,17.047,17.290001,109205000,16.597321,MA,0.82,0.06
2009-05-04,18.413,18.67,17.883,17.899,43896000,17.181927,MA,0.82,0.06
2009-05-05,18.342,19.106,18.278,18.341,43759000,17.606213,MA,0.82,0.06
2009-05-06,19.222,19.31,18.738,18.343,32739000,17.608133,MA,0.82,0.06
2009-05-07,19.271,19.454,18.777,18.077999,28138000,17.353754,MA,0.82,0.06
2009-05-08,19.043,19.28,18.891,18.507999,21538000,17.766521,MA,0.82,0.06
